Rank,BName,BName_sub,ItemId,Author,Author_mul,Publshr,Pdate,RglPrice,SlsPrice,SalesPoint,Category,Sorce
181.0,컴퓨터활용능력 1급 필기 특별대비,,364478,유호철.영진정보연구소,False,영진.com(영진닷컴),2002-06-30,17000,15300,175.0,컴퓨터/모바일,2002년8월3주
261.0,좋은 기업을 넘어... 위대한 기업으로,,364875,짐 콜린스,True,김영사,2002-06-30,13900,12510,5379.0,경제경영,2005년2월1주
511.0,땡땡의 모험 1권~5권 - 전5권 세트,,367237,에르제,True,솔출판사,2002-06-30,40000,36000,132.0,만화,2002년8월3주
487.0,뿔,,364181,신경림,False,창비,2002-07-01,10000,9500,622.0,소설/시/희곡,2002년8월3주
554.0,플로이드의 오래된 집,,364390,존 마르께제,True,기타 출판사,2002-07-01,8000,7200,100.0,요리/살림,2002년8월3주
678.0,주역의 과학과 도,,364689,김기현,True,기타 출판사,2002-07-01,18000,16200,1793.0,종교/역학,2002년8월3주
846.0,부자의 코드를 읽어라,,365101,브라이언 셔,True,기타 출판사,2002-07-01,12000,10800,222.0,경제경영,2002년8월3주
749.0,"몸이 원하는 밥, 조식",,366703,마쿠우치 히데오,True,기타 출판사,2002-07-01,10000,9000,242.0,건강/취미,2002년8월3주
971.0,TEPS 실전테스트 7,(문제집 + 해설집 + 테이프 1개),368218,조선일보사 편집부,False,기타 출판사,2002-07-01,8000,7600,282.0,외국어,2002년8월3주
224.0,간 다스리는 법,,365054,이종수,False,기타 출판사,2002-07-02,10000,9000,234.0,건강/취미,2002년8월3주
45.0,유쾌하게 나이 드는 법 58,,364188,로저 로젠블라트,True,기타 출판사,2002-07-03,7800,7020,1932.0,에세이,2002년8월3주
632.0,센과 치히로의 행방불명 1,,364377,미야자키 하야오,False,대원씨아이(만화),2002-07-03,4000,3600,408.0,만화,2002년8월3주
561.0,센과 치히로의 행방불명 2,,364379,미야자키 하야오,False,대원씨아이(만화),2002-07-03,4000,3600,474.0,만화,2002년8월3주
605.0,센과 치히로의 행방불명 3,,364380,미야자키 하야오,False,대원씨아이(만화),2002-07-03,4000,3600,464.0,만화,2002년8월3주
569.0,센과 치히로의 행방불명 4,,364381,미야자키 하야오,False,대원씨아이(만화),2002-07-03,4000,3600,470.0,만화,2002년8월3주
608.0,센과 치히로의 행방불명 5,,364382,미야자키 하야오,False,대원씨아이(만화),2002-07-03,4000,3600,480.0,만화,2002년8월3주
418.0,라그나로크 10,,364383,이명진,False,대원씨아이(만화),2002-07-03,3000,2700,249.0,만화,2002년8월3주
120.0,태양인 이제마 - 상,,365041,노가원,False,기타 출판사,2002-07-03,8000,7200,226.0,소설/시/희곡,2002년8월3주
115.0,태양인 이제마 - 하,,365044,노가원,False,기타 출판사,2002-07-03,8000,7200,225.0,소설/시/희곡,2002년8월3주
126.0,태양인 이제마 - 중,,365046,노가원,False,기타 출판사,2002-07-03,8000,7200,220.0,소설/시/희곡,2002년8월3주
35.0,셜록 홈즈 전집 7,(양장),365283,아서 코난 도일,True,황금가지,2002-07-04,12000,10800,2777.0,소설/시/희곡,2002년8월3주
761.0,히치하이킹 게임,,365337,밀란 쿤데라,True,기타 출판사,2002-07-05,8500,7650,256.0,소설/시/희곡,2002년8월3주
345.0,따귀 맞은 영혼,,365385,배르벨 바르데츠키,True,기타 출판사,2002-07-05,10000,9000,5162.0,인문학,2002년8월3주
108.0,꽃은 제 빛깔로 말하고,,366011,박순희,False,기타 출판사,2002-07-05,5500,4950,60.0,소설/시/희곡,2002년8월3주
784.0,예전엔 미쳐서 몰랐어요,,364977,한국추리작가협회,False,기타 출판사,2002-07-07,9000,8100,82.0,소설/시/희곡,2002년8월3주
680.0,워크래프트 3,,365209,서인석,True,기타 출판사,2002-07-08,10000,9000,96.0,컴퓨터/모바일,2002년8월3주
250.0,꿈은 이루어진다,,365275,조선일보2002월드컵취재팀,False,기타 출판사,2002-07-08,9500,8550,392.0,에세이,2002년8월3주
409.0,Next Society,,363690,피터 드러커,True,한국경제신문,2002-07-10,13000,11700,4643.0,경제경영,2005년2월1주
370.0,"우리 아이 영어공부, 이게 궁금해요!",,364716,이남수,False,길벗이지톡,2002-07-10,11000,9900,227.0,좋은부모,2002년8월3주
938.0,다섯번째 여자,,365327,헤닝 만켈,True,기타 출판사,2002-07-10,12000,10800,350.0,소설/시/희곡,2002년8월3주
387.0,하얀 암사자,,365332,헤닝 만켈,True,기타 출판사,2002-07-10,12000,10800,500.0,소설/시/희곡,2002년8월3주
359.0,10cm 예술,,365365,김점선,True,기타 출판사,2002-07-10,10000,9000,1625.0,예술/대중문화,2002년8월3주
787.0,후르츠 바스켓 8,,365440,타카야 나츠키,True,서울미디어코믹스(서울문화사),2002-07-10,3000,2700,584.0,만화,2002년8월3주
579.0,한국 노동계급의 형성,,365512,구해근,True,창비,2002-07-10,18000,16200,1701.0,사회과학,2002년8월3주
482.0,초등학교 수학 이렇게 가르쳐라,,365536,리핑 마,True,기타 출판사,2002-07-10,9800,8820,1717.0,과학,2002년8월3주
161.0,나의 아름다운 정원,,365661,심윤경,False,한겨레출판,2002-07-10,9500,8550,9308.0,소설/시/희곡,2002년8월3주
914.0,노년,,365754,시몬 드 보부아르,True,기타 출판사,2002-07-10,29000,26100,1492.0,사회과학,2002년8월3주
876.0,광해군 - 상,,365807,이기담,False,기타 출판사,2002-07-10,8000,7200,68.0,소설/시/희곡,2002년8월3주
343.0,아르센 뤼팽의 고백,,365831,모리스 르블랑,True,까치,2002-07-10,8000,7200,585.0,소설/시/희곡,2002년8월3주
336.0,신군주론,,366326,딕 모리스,True,기타 출판사,2002-07-10,10000,9500,306.0,사회과학,2002년8월3주
991.0,매일매일 색다른 반찬.밑반찬,,366425,삼성출판사 편집부,False,기타 출판사,2002-07-10,5800,5220,487.0,요리/살림,2002년8월3주
