BName,BName_sub,ItemId,Author,Author_mul,Publshr,Pdate,RglPrice,SlsPrice,SalesPoint,Category
"[ 359  222   25 4075  128   27  143    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],105803,0,False,0,1993-12-01,2000,1800,44.0,[43  1 44  0  0]
"[  36   37 1314   39    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],27051,0,False,0,1993-12-01,1500,1350,105.0,[43  1 44  0  0]
"[920 933  12   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],54561,385,False,0,1994-01-01,7000,6650,414.0,[55  1 59 58  0]
"[1706 2798   96    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],83710,12,False,0,1994-03-01,7000,6300,299.0,[4 1 3 1 5]
"[5230 3810    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],134493,0,False,0,1994-04-01,16000,16000,24.0,[154 121   1 159 161]
"[274  19   6 105  50   2  80 141 293   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],190659,445,True,10,1994-04-01,11900,10710,2436.0,[24 26  0  0  0]
"[920 933  14   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],191209,385,False,0,1994-04-01,7000,6650,263.0,[55  1 59 58  0]
"[7632   13 6219    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],107339,0,False,0,1994-06-01,7500,6750,991.0,[15  0  0  0  0]
"[3164    2  217    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],140656,0,True,0,1994-06-01,5000,4500,42.0,[43  1 44  0  0]
"[2861 3093   40 3708  120    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],50869,1140,False,0,1994-06-01,15000,13500,2294.0,[49  0  0  0  0]
"[  36    2 1123  171  858   14    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],28315,200,False,7,1994-07-01,13000,11700,4486.0,[15  0  0  0  0]
"[799  21 113  86 230 106 277  19  36 115   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],43430,0,False,41,1994-07-01,8000,7200,176.0,[35 13 41  0  0]
"[402  85 344   6 113 203  27 326   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],85561,2006,False,0,1994-07-01,15000,13500,2109.0,[22  0  0  0  0]
"[1296   63 5108    2   22  102  681   90    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],110525,0,False,0,1994-09-01,7000,6300,100.0,[22  0  0  0  0]
"[1495 1355    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],333001,602,True,0,1994-09-01,7500,6750,7429.0,[7 0 0 0 0]
"[4209  532  173    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]","[  8 121  30 229   9   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0]",178134,0,True,38,1994-11-01,42000,37800,49.0,[20  0  0  0  0]
"[2852 3133  119   12    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],53640,3273,False,5,1994-12-01,16000,15200,760.0,[4 1 3 1 5]
"[2852 3133  119   14    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],53641,3273,False,5,1994-12-01,18000,17100,508.0,[4 1 3 1 5]
"[ 402   85  344    6  113  203   27 2073  661    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],85559,2006,False,0,1994-12-01,15000,13500,1787.0,[22  0  0  0  0]
"[133 118  25  82   6 826   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],98794,0,False,20,1994-12-01,5000,4500,829.0,[35 13 41  0  0]
"[844  14   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],190184,112,False,19,1995-01-01,6800,6120,355.0,[4 1 3 1 5]
"[844  56   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],190187,112,False,19,1995-01-15,6800,6120,365.0,[4 1 3 1 5]
"[844 103   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],190190,112,False,19,1995-01-15,6800,6120,365.0,[4 1 3 1 5]
"[844  80   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],190191,112,False,19,1995-01-15,6800,6120,371.0,[4 1 3 1 5]
"[1056   90 1088   39    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],106472,1085,False,0,1995-02-01,7000,6300,3198.0,[32 22  0  0  0]
"[1665 7497    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],11501,0,False,0,1995-02-01,25000,22500,859.0,[57  1 64  0  0]
"[1803  136    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],189821,112,False,19,1995-02-01,6800,6120,190.0,[4 1 3 1 5]
"[  36    6 8377    2 4767 4170    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],27394,941,False,7,1995-03-01,8500,7650,4147.0,[18  0  0  0  0]
"[1955   63  967   12   27   12    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],53100,1428,False,33,1995-03-01,18000,16200,2169.0,[49  0  0  0  0]
"[ 508   78  812    2  525  740 1883   12    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],2038,1394,False,0,1995-06-01,15000,13500,1505.0,[55  1 59 58  0]
"[ 508   78  812    2  525  740 1883   14    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],2039,1394,False,0,1995-06-01,15000,13500,947.0,[55  1 59 58  0]
"[1803  270    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],189823,112,False,19,1995-07-01,6800,6120,200.0,[4 1 3 1 5]
"[  92   40 2548    6  173  358   28 2960    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],88173,794,False,38,1995-07-01,15000,13500,80.0,[20  0  0  0  0]
"[1913   23  164  382  147    3    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],136765,3286,False,0,1995-08-01,7000,6300,1257.0,[51  0  0  0  0]
"[653  90  12   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],44607,114,True,27,1995-09-01,15500,13950,12777.0,[49  0  0  0  0]
"[653  90  14   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],44608,114,True,27,1995-09-01,18500,16650,9517.0,[49  0  0  0  0]
