순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명),source
866.0,국내도서,화성남자 금성여자의 침실가꾸기,173075,9788987268996,,"존 그레이 지음, 김경숙 옮김",동녘라이프(친구미디어),1996-01-01,9000,8100,450점,781.0,요리/살림,2002년8월3주
233.0,국내도서,상대적이며 절대적인 지식의 백과사전,72531,9788932901251,3860.0,"베르나르 베르베르 지음, 이세욱 옮김",열린책들,1996-01-01,10000,9000,500점,5793.0,과학,2005년2월1주
278.0,국내도서,새의 선물,73932,9788985712767,3810.0,은희경 지음,문학동네,1996-01-01,9800,8820,490점,3695.0,소설/시/희곡,2005년2월1주
917.0,국내도서,하나님을 아는 지식,156744,9788932815138,,"제임스 패커 지음, 정옥배 옮김",IVP,1996-02-01,12000,10800,600점,737.0,종교/역학,2002년8월3주
703.0,국내도서,소피의 세계 (합본),82904,9788932308692,3160.0,"요슈타인 가아더 지음, 장영은 옮김",현암사,1996-02-01,19500,17550,970점,7694.0,인문학,2005년2월1주
907.0,국내도서,한권으로 읽는 조선왕조실록,164204,9788975270291,,박영규 지음,들녘,1996-03-01,10000,9000,500점,1325.0,역사,2002년8월3주
956.0,국내도서,연어,189060,9788985712682,3810.0,안도현 지음,문학동네,1996-03-01,10000,9000,500점,30507.0,소설/시/희곡,2013년4월4주
505.0,국내도서,설득의 심리학,267184,9788950902087,,"로버트 치알디니 지음, 이현우 옮김",21세기북스,1996-03-01,9500,8550,470점,332.0,자기계발,2002년8월3주
666.0,국내도서,노동의 종말,31896,9788937422676,,"제레미 리프킨 지음, 이영호 옮김",민음사,1996-03-01,12000,10800,600점,873.0,사회과학,2005년2월1주
957.0,국내도서,당신의 직업 하나님의 계획입니다,36260,9788942100781,3230.0,빌 하이벨스,죠이선교회,1996-03-01,5000,4500,250점,66.0,종교/역학,2005년2월1주
335.0,국내도서,로마인 이야기 4,44610,9788935610273,4900.0,"시오노 나나미 지음, 김석희 옮김",한길사,1996-03-01,19500,17550,970점,8025.0,역사,2002년8월3주
945.0,국내도서,물질문명과 자본주의 2-2,53103,9788972910862,94900.0,"페르낭 브로델 지음, 주경철 옮김",까치,1996-03-01,18000,16200,900점,1425.0,역사,2002년8월3주
164.0,국내도서,예수님을 따르는 삶,105802,9788904131037,,배리 클레어,생명의말씀사,1996-04-20,2500,2250,120점,41.0,종교/역학,2005년2월1주
540.0,국내도서,바람의 딸 걸어서 지구 세바퀴 반 1,56275,9788986903010,3810.0,한비야 지음,금토,1996-06-17,9000,8100,450점,5847.0,여행,2005년2월1주
281.0,국내도서,며느리에게 주는 요리책,49060,9788973002955,23590.0,장선용 지음,이화여자대학교출판문화원,1996-06-26,11000,11000,330점,3914.0,요리/살림,2002년8월3주
942.0,국내도서,세계의 끝과 하드보일드 원더랜드 1,79845,9788970122113,3830.0,"무라카미 하루키 지음, 김진욱 옮김",문학사상사,1996-06-28,13800,12420,690점,4061.0,소설/시/희곡,2001년1월3주
401.0,국내도서,이갈리아의 딸들,116061,9788982730009,3890,"게르드 브란튼베르그 지음, 히스테리아 옮김",황금가지,1996-07-01,13000,11700,650점,19036.0,소설/시/희곡,2019년1월3주
245.0,국내도서,성공하는 기업들의 8가지 습관,78197,9788934902867,,"제리 포라스 & 제임스 콜린스 지음, 워튼포럼 옮김",김영사,1996-07-10,9900,8910,490점,582.0,경제경영,2002년8월3주
862.0,국내도서,신의 지문 -상,90491,9788972911258,3380.0,그레이엄 핸콕,까치,1996-07-10,13000,11700,650점,1599.0,인문학,2002년8월3주
497.0,국내도서,신의 지문 -하,90492,9788972911265,3380.0,그레이엄 핸콕,까치,1996-07-10,13000,11700,650점,1451.0,인문학,2001년1월3주
